Titre	démarches	dossiers
Aide au pluralisme de la presse périodique régionale et locale (PPR) (2024)	1	232
Appel à projets 137 - Egalité entre les femmes et les hommes dans les Hauts-de-France 2023	1	231
Dépôt et instruction des offres de formation civique et citoyenne (FCC) du Service civique 	1	230
Demande 2024 de paiement d'une subvention d'Etat	1	230
Déclaration d'intention de vidange d'un plan d'eau	1	229
Fonds d'urgence viticulture 2023	2	226
AAC  2023 : Programmes antichute en EHPAD basés sur l’activité physique adaptée (APA)	1	225
Demande de subvention au titre de la DETR et de  la DSIL (Lot)	1	224
FATEA 2020/2021 - Plan de soutien aux Entreprises Adaptées (campagne d'Avril 2022)	1	224
Appel à Manifestation d'Intérêt : Fabriques de territoire 7	1	223
Fonds de soutien aux médias d'information sociale de proximité - 2024	1	222
Demande de subvention au titre de la DETR et de la DSIL 2024 - ESSONNE	1	222
Demande de subvention au titre de la DETR et de  la DSIL (Tarn-et-Garonne)	1	221
Formulaire de demande DETR & DSIL 2020-2021 VAR83	1	221
demande de subvention au titre de la DETR & DSIL 2022 VAR-83	1	221
Nouvelle-Aquitaine Taxe d'apprentissage - demande de mise à jour ou d'inscription sur les listes régionales	4	221
Déclaration pour l'exercice de l'activité de transport par route de déchets _ département 51 uniquement	1	220
Inscription et renouvellement d'inscription d'une publication de presse	1	219
Demande de subvention de DETR, DSIL, FNADT ou DSID 2023 - Ariège	1	219
Formulaire de déclaration annuelle des volumes d'eau prélevés 2023	1	218
ARS PDL - ADELI - ENREGISTREMENT DES ASSISTANTS DE SERVICE SOCIAL 	1	217
Plan "Meilleure réussite scolaire" Projets de collèges	5	217
Fonds de soutien aux médias d'information sociale de proximité	1	214
Demande de subvention au titre de la DETR et de la DSIL (Vendée)	1	214
Demande d'autorisation de manifestation sportive, fête nautique ou autres concentrations de bateaux susceptibles d'entraver la navigation fluviale sur le domaine public fluvial (DPF) de Loire-Atlantique	1	214
Demande d'agrément CII (Crédit d'Impôt Innovation) 2024-2028 par une entreprise NON titulaire d'un agrément CIR en cours de validité	1	212
Aide d’urgence suite au gel 2021 dans le Rhône	1	212
Dispositif d'arrachage sanitaire des vignes en Gironde - 2ème campagne	1	211
Concours Album des jeunes architectes et paysagistes (AJAP)	1	211
Professionnels de l'automobile : demande d'habilitation et/ou d'agrément au SIV	2	211
Demande de versement projets prépa apprentissage	1	210
FONDS VERT - Appui aux collectivités de montagne soumises à des risques émergents	1	209
HELP « aide aux entreprises en difficultés » Pas-de-Calais	1	208
Demande de subvention au titre de la DETR et de  la DSIL (Loire)	1	208
Fichier employeur : Réclamation sur un dossier d'indemnités journalières	1	207
Fonds d'urgence viticulture 2023 - Lot	1	206
Demande d'habilitation au SIV	2	206
Recensement des pertes agricoles suite à un aléa climatique - version 20240319	1	205
Demande de subvention au titre de la DETR et de la DSIL (Corse-du-Sud)	1	204
Fonds d'urgence - Episode de grêle mai 2022 - Mayenne	1	204
Appel à projets - Pacte Métropolitain des Solidarités -  2024	1	204
Demande d'aide de trésorerie exceptionnelle au fond d'urgence pour l'agriculture biologique	1	204
Finances : état récapitulatif détaillé des paiements effectués v4	1	204
HELP « aide aux entreprises en difficultés » Martinique	2	204
Demande d'autorisation d'occupation temporaire du Domaine public maritime du Pas-de-Calais	1	200
Demande de subvention au titre de la DETR et de la DSIL 2024 (Vaucluse)	1	199
FATEA 2020 - Plan de soutien aux Entreprises Adaptées (campagne de novembre 2021)	1	199
Prévention et lutte contre la pauvreté - Pays de la Loire - Demande de subvention 2023	1	199
Sécheresse sur prairies - ISN 2023	2	198
Demande de subvention au titre de la DETR et de  la DSIL (Mayenne)	1	197
FATEA 2020/2021 - Plan de soutien aux Entreprises Adaptées (campagne de février 2022)	1	197
HELP « aide aux entreprises en difficultés » GARD	2	197
Déclaration de mise en oeuvre du protocole d’évaluation de la connexion du plan d’eau à la nappe d’accompagnement du cours d’eau	1	196
Appel à projets DETR DSIL 2024 VAR-83	1	196
Appel à projets conjoint DETR et DSIL - Exercice 2023	1	195
Demande de subvention au titre de la DETR et de  la DSIL (Val-d'Oise)	1	195
Durabilité des bioénergies : déclaration 2024, production d'électricité et/ou chaleur/froid	1	194
Positionnement réglementaire	1	194
Programme de numérisation et de valorisation des contenus culturels (PNV)	1	194
Demande de subvention au titre de la DETR et de la DSIL (Haute-Savoie)	1	194
Fond d'urgence pour accompagner les exploitations en agriculture biologique en difficulté	1	194
FONDS VERT - Développement des mobilités durables en zones rurales	1	193
DEMANDES DE SUBVENTIONS BOP 177 - BOP 304  - ANNEE 2022	1	189
Demande de paiement d'une subvention d'Etat 2022	1	189
Demande initiale ou de renouvellement d'agrément  d'un Etablissement d’Enseignement de la Conduite Automobile et de la Sécurité Routière en Seine Maritime	1	188
Demande de subvention au titre de la DETR et de la DSIL (Haute-Corse)	1	188
Campagne CIMA 2024	1	188
Appel à projets conjoint DETR et DSIL - Exercice 2022	1	188
Appel à Projets - Entreprendre au Cœur des Territoires	1	188
"Démarches simplifiées" relatif à l'exécution des décisions de justice  uniquement ceux des étrangers et article 65 pour le contentieux général hors expulsion locative gérée par la Mission ville, urbanisme par la DRIEAT et DALO par la DRHIL	1	187
Demande de subvention au titre de la DETR et de  la DSIL (Hautes-Alpes)	1	186
DEMANDE DE DÉROGATION AUX MESURES DE RESTRICTION DE PRÉLÈVEMENT D’EAU POUR DES USAGES AGRICOLES EN SARTHE	1	186
Démarches relatives à l'agrément d'un établissement d'enseignement de la conduite des véhicules à moteur et de la sécurité routière - Préfecture de police	1	186
DDPP85 /abattage préventif / Acompte indemnisation	1	186
Appel à projets 2024 - Programme Mieux Manger Pour Tous - Volet local	6	185
Demande de subvention au titre de la DETR et de  la DSIL (Alpes-Maritimes)	1	184
DRDJSCS GRAND EST - AMI FONJEP JEP-163 et CS- 163 2021-2023	1	184
F502 - Désignation de mandataire(s) ou suppression de mandat(s)	1	183
92-Demande de permis de stationnement, sur places existantes, pour déménagement (ou livraison de matériels) V5	1	183
Conseiller numérique Coordinateur	1	183
Allocation d'installation d'atelier et achat de matériel	1	182
Commande de kit CNFS - dernière vague	1	181
FATEA 2020/2021 - Plan de soutien aux Entreprises Adaptées (campagne de Juin 2022)	1	181
HELP « aide aux entreprises en difficultés » CALVADOS	1	181
Village de Noel 2023	1	178
Label 100% EAC	2	177
PREFECTURE DE L'AVEYRON - Arrondissement de RODEZ - Aide financière de l'Etat à l'investissement des collectivités - Demande de Dotation d'équipement des territoires ruraux (DETR) - Exercice 2023	1	176
Préfecture de Police de Paris/DUPA/BPAS : Domiciliation d'entreprise	1	175
CD92 - EAJE : demande d'Avis Technique d'Opportunité (ATO)	1	174
Déclaration d'existence d'un plan d'eau en Ille-et-Vilaine	1	172
Ministère du Travail de l'insertion et de l'emploi - "Solidarité inclusive associations intermédiaires"	1	172
Appel à projets Innovations organisationnelles associées à une solution technologique ou numérique	2	171
Appel à projets Eté culturel  2022 - DRAC Bretagne	1	170
DDPP49 / demande LPS pour un mouvement de viandes et produits issus d'animaux provenant de ZONE DE PROTECTION vis-à-vis de l'Influenza aviaire	1	169
Candidater au 140e cycle Jeunes de l'IHEDN	1	169
Dispositif d’urgence – Soutien aux exploitations BIO en difficulté	4	169
Ardèche - Aide d’urgence de soutien suite à la crise Covid et au gel 2021	1	168
LBC Plantation de vergers - projet individuel	1	168
Appel à projets conférence des financeurs de la Manche 2023 - Seniors à domicile et proches aidants	1	168
Demande de dérogation à la protection des espèces : RANACULTURE - campagne 2024	1	168
[PIC-EA] Attestation de Service Fait – Ingénierie	1	168
Accès à l'apprentissage des jeunes de moins de 15 ans	1	167
HELP « aide aux entreprises en difficultés » Pyrénées Atlantiques 	1	167
FATEA 2020 - Plan de soutien aux Entreprises Adaptées	1	166
Engagement Sapeur-Pompier Volontaire SDIS17 SPV AUTRE SDIS ou reprise - 5 ans	1	165
ARS_IDF_SRTS - DEMANDE D'EQUIPEMENT DE DISPOSITIFS SPECIAUX DE SIGNALISATION (catégorie B.)	1	165
HELP « aide aux entreprises en difficulté » Gironde - V1	1	165
Eté culturel 2024 - DRAC Grand Est (Inscription Jeunes ESTivants)	1	164
Aide à l'exemplaire pour les titres de presse portés (2024)	1	164
FranceRelance  : Fonds "Transformation numérique des collectivités territoriales" > Guichet > Utiliser les API nationales	1	164
Questionnaire préalable au dépôt éventuel d'une DAPE	3	164
APPEL A PROJETS 2024 RELATIF A L'INTEGRATION DES ETRANGERS PRIMO-ARRIVANTS DONT LES BENEFICIAIRES DE LA PROTECTION INTERNATIONALE - DREETS Occitanie	1	163
HELP « aide aux entreprises en difficultés » 13 - V1	1	162
HELP « aide aux entreprises en difficultés » Bas-Rhin v210702	1	162
ANSM - Dossier de déclaration de modification administrative d'un établissement pharmaceutique (article R. 5124-10-1 1° à 5° du code de la santé publique)	1	162
Appel à projets 137 - Egalité entre les femmes et les hommes dans les Hauts-de-France	1	162
Appel à projets conférence des financeurs de la Manche 2024 - Seniors à domicile et proches aidants	1	161
HELP « aide aux entreprises en difficulté » Bourgogne-V1	1	160
Fonds d'aide aux échanges artistiques et culturels pour les outre-mer (FEAC 2023)	1	158
Candidature AMI "France Travel Tech" : promotion 2023-2024	1	158
Inscription sur la liste des défenseurs syndicaux de Bourgogne-Franche-Comté (mandat 2024/2028)	1	157
Déclaration de durabilité RED II : électricité et chaleur / biomasse solide	1	156
Fonds d'urgence - Episode de gel avril 2021 - Tarn	1	156
2024-Destruction à tir de la Corneille dans la Haute-Garonne	1	156
Demande de subvention au titre de la DETR et de  la DSIL (Seine-Saint-Denis) 	1	155
Demande de subvention au titre de la DETR ou de la DSIL 2024 (Deux-Sèvres)	1	155
Demande de dérogation à un arrêté régional sur les Matériels Forestiers de Reproduction (MFR)	1	154
Aide à l'exemplaire pour les titres de presse portés	1	154
ANSM - Déclaration d'ouverture effective d'un établissement pharmaceutique	1	153
Appel à projets Atlas de la biodiversité communale ABC 2020	1	153
Demande des mesures de soutien aux agriculteurs sinistrés par les épisodes de gel en 2021 dans l'Yonne	2	153
VRL Occitanie - Programmation 2024	1	152
HELP « aide aux entreprises en difficulté » IdF département 77	2	152
Compte-rendu financier de subvention FEAC	1	149
Projet innovant France 2030	1	148
Demande de subvention de DETR ou DSIL 2022 - PREF43	1	148
Demande de subvention au titre de la DETR et de la DSIL (Territoire de Belfort)	1	147
Appel à projets Animation territoriale des JOP 2024 - DRAJES Grand Est	1	147
Dossier de demande d'aide financière 2022 - FONCTIONNEMENT	1	146
demande préalable de travaux sur des affleurements rocheux - POUR AGRICULTEURS	1	145
Appel à projets - Atlas de la biodiversité communale (ABC) 2023	1	145
SECELEC	1	145
Compte-rendu financier de subvention - DRDFE Bretagne	1	144
Demande de subvention au titre de la DETR et de la DSIL (Bouches-du-Rhône)	1	144
HELP « aide aux entreprises en difficultés » Marne	2	144
HELP « aide aux travailleurs indépendants en difficultés » HAUTE-GARONNE - v1	1	143
Appel à Projets Régional 2023 : Volet 1 : Alliances locales des solidarités	1	143
HELP « aide aux entreprises en difficultés » EURE	1	142
Appel à projets 2024-2025 pour le déploiement des cordées de la réussite en Ile-de-France	1	142
Candidature à l'appel à manifestation d'intérêt cybersécurité - Financement des exercices de continuité d'activité pour les établissements de santé en Occitanie	1	142
Demande d'agrément pour organiser des sessions d'examen conduisant au titre professionnel du ministère du Travail	1	141
Appel à projets - Atlas de la biodiversité communale (ABC) - 2ème session France Relance	1	140
Appel à projets 2023-2024 pour le déploiement des cordées de la réussite en Ile-de-France	1	140
Demande de subvention au titre de la DSIL 2024	1	139
Savoirs et Cultures	1	139
CD93 | Appel à projet Seine-Saint-Denis-Compétences (Ex IFE) 2023 : Dossier action - Volet I et volet II	1	139
Demande de subvention pour les organismes autres qu'association  - DREAL PACA - SBEP	1	139
Appel à projets - Atlas de la biodiversité communale (ABC) 2022	1	139
[CEPS] Panorama des dispositifs médicaux et produits LPPR	1	139
Demande de subvention de DETR ou DSIL ou FNADT ou DSID 2020 - Ariège	1	138
FIPD 2022 - Prévention de la délinquance et prévention de la radicalisation - Préfecture de l'Essonne	1	138
AMI France 2030 - Pôles territoriaux d’industries culturelles et créatives favorisant la structuration d’écosystèmes locaux	1	138
FranceRelance : Fonds "Tranformation numérique des collectivités territoriales" > Appel à projets > Dématérialiser ou améliorer l'expérience d'une démarche administrative en ligne	2	138
Label Entreprise du Patrimoine Vivant - Candidature initiale	1	137
ANSM - Déclaration de fermeture définitive d’un établissement pharmaceutique (article R. 5124-12 du code de la santé publique)	1	136
HELP « aide aux entreprises en difficultés » Landes	1	136
Recherche scientifique marine (RSM), études préalables à la pose de câble sous-marin et essais en mer : Préfecture maritime de l'Atlantique	1	135
Appel à projets 2022-2023 " Cordées de la réussite" - Ile-de-France	1	135
Demande d'autorisation de voirie ou de commencement de travaux	1	134
Fonds d'urgence - Agriculture  biologique - Tarn	1	134
Télédéclaration d'alertes en matière de santé publique et d'environnement	1	133
Dossier de demande d'aide financière 2021 - INVESTISSEMENT / EQUIPEMENT	3	133
Dérogation au seuil d'obligation de traitement des lisiers en Bretagne	2	133
Recensement ETP 2022 et besoins supplémentaires	2	133
Appel à programmes « fonds mobilités actives – territoires cyclables »	1	132
Dossier de demande d'aide financière 2022 - INVESTISSEMENT / EQUIPEMENT	1	131
Accompagnement coordonné des travailleurs indépendants en Maine-et-Loire	1	131
APPEL A PROJETS 2023 RELATIF A L'INTEGRATION DES ETRANGERS PRIMO-ARRIVANTS DONT LES BENEFICIAIRES DE LA PROTECTION INTERNATIONALE - DREETS Occitanie	1	131
Bilans Appel à projets Conférence des financeurs 2023	1	130
Demande de subvention au titre de la DETR et de la DSIL 2024 PREFECTURE MARTINIQUE	1	130
Fonds d'aide aux échanges artistiques et culturels pour les outre-mer (FEAC 2023) - Seconde commission	1	129
HELP « aide aux entreprises en difficulté » IdF département 75 - dossiers avant le 19/10/2022	1	129
